,Name,Link,City,State
71,Orange Belt Mineralogical Society,http://obmsrocks.yolasite.com/,San Bernardino,California 
72,Orcutt Mineral Society,http://www.omsinc.org/,Santa Maria,California 
73,Oxnard Gem & Mineral Society,http://oxnardgem.com/home/,Oxnard,California 
74,Palmdale Gem & Mineral Club,https://www.facebook.com/palmdalegemandmineralclub/,Palmdale,California 
75,Palomar Gem & Mineral Club,http://palomargem.org/,Escondido,California 
76,Palos Verdes Gem & Mineral Society,http://www.palos-verdes-gem-and-mineral-society.org/,Rolling Hills Estates,California 
77,Paradise Gem & Mineral Club,http://www.paradisegem.org/,Paradise,California 
78,Pasadena Lapidary Society,http://www.pasadenalapidarysociety.org/,Pasadena,California 
79,"Peninsula Gem & Geology Society, Inc.",http://pggs.org/,Los Altos,California 
80,Roseville Rock Rollers,http://www.rockrollers.com/,Roseville,California 
81,Route 66 Gold Miners Inc,http://www.route66goldminers.org/,Brea,California 
82,Sacramento Mineral Society,http://www.sacramentomineralsociety.org/,Sacramento,California 
83,Sacramento Valley Detecting Buffs,http://www.sacramentovalleydetectingbuffs.com/,North Highlands,California 
84,Salinas Valley Rock and Gem Club,https://salinasrockandgem.pagecloud.com/,Salinas,California 
85,San Diego Gem and Mineral Society,http://www.sdmg.org/,San Diego,California 
86,San Diego Lapidary Society,http://sandiegolapidarysociety.org/,San Diego,California 
87,"San Francisco Gem and Mineral Society, Inc.",http://www.sfgms.org/,San Francisco,California 
88,San Joaquin Valley Lapidary Society,http://sjvls.blogspot.com/,Bakersfield,California 
89,San Luis Obispo Gem & Mineral Club,http://www.slogem.org/,San Luis Obispo,California 
90,"Santa Ana Rock & Mineral Club, Inc.",http://www.sarmclub.org/,Santa Ana,California 
91,Santa Clara Valley Gem & Mineral Society,http://www.scvgms.org/,San Jose,California 
92,Santa Cruz Mineral and Gem Society,https://www.facebook.com/scmgs/,Santa Cruz,California 
93,Santa Lucia Rockhounds,http://www.slrockhounds.org/,Paso Robles,California 
94,"Santa Rosa Mineral And Gem Society, Inc.",http://www.srmgs.org/,Santa Rosa,California 
95,Searchers Gem and Mineral Society,https://www.searchersrocks.org/,Anaheim,California 
96,"Searles Lake Gem and Mineral Society, Inc.",http://www1.iwvisp.com/tronagemclub/,Trona,California 
97,Sequoia Gem and Mineral Society,http://www.sequoiagemandmineralsociety.org/,Redwood City,California 
98,Shadow Mountain Gem & Mineral Society,http://www.shadowmountaingemmineral.org/,Palm Springs,California 
99,Shasta Gem & Mineral Society,http://www.shastagemandmineral.com/,Redding,California 
100,Sierra Pelona Rock Club,http://www.sierrapelona.com/,Newhall,California 
101,South Bay Lapidary & Mineral Society,https://southbaylapidaryandmineralsociety.com/,Torrance,California 
102,South Orange County Gem & Mineral Society,https://www.facebook.com/South-Orange-County-Gem-Mineral-Society-255366124502612/,San Clemente,California 
103,Southern California Paleontological Society,http://socalpaleo.com/,Los Angeles,California 
104,Stockton Lapidary & Mineral Club,http://www.stocktonlapidary.com/,Stockton,California 
105,Sutter Buttes Gem & Mineral Society,https://sutterbuttesgemmin.org/,Marysville,California 
106,Tehachapi Valley Gem & Mineral Society,http://www.tvgms.org/,Tehachapi,California 
107,Tule Gem and Mineral Society,http://www.tulegem.com/,Farmersville,California 
108,Vallejo Gem & Mineral Society,http://www.vjgems.org/,Vallejo,California 
109,"Valley Prospectors, Inc.",https://www.valleyprospectors.com/,San Bernardino,California 
110,"Ventura Gem & Mineral Society, Inc",http://vgms.org/,Ventura,California 
111,Victor Valley Gem and Mineral Club,http://www.vvgmc.org/,Victorville,California 
112,Vista Gem & Mineral Society,http://www.vistarocks.org/,Vista,California 
113,West Coast Prospectors & Treasure Hunters Association,http://westcoasters.org/,Garden Grove,California 
114,West End Prospectors Corporation,http://www.wepcgold.com,Norco,California 
115,"Whittier Gem and Mineral Society, Inc.",http://wgmsca.com/index.html,Whittier,California 
116,"Woodland Hills Rock Chippers, Inc.",http://www.rockchippers.org/,San Fernando Valley,California 
117,Yucaipa Valley Gem & Mineral Society,http://www.yvgms.org/wiki/,Yucaipa,California 
118,Canon City Geology Club,http://www.canoncitygeologyclub.com/,Canon City,Colorado 
119,Colorado Gold Camp,http://coloradogoldcamp.com/,Frisco,Colorado 
120,Colorado Mineral Society,http://www.coloradomineralsociety.org/,Lakewood,Colorado 
121,Colorado Prospector,http://www.coloradoprospector.com/,Alamosa,Colorado 
122,Colorado Springs Mineral Society,http://www.csms1936.com/,Colorado Springs,Colorado 
123,Columbine Gem and Mineral Society,http://rockaholics.org/,Salida,Colorado 
124,Denver Gem and Mineral Guild,http://denvergem.org/index.html,Denver,Colorado 
125,Flatirons Mineral Club,http://flatironsmineralclub.org/,Boulder,Colorado 
126,Fort Collins Rockhounds,http://www.fortcollinsrockhounds.org/,Fort Collins,Colorado 
127,Four Corners Gem & Mineral Club,http://www.durangorocks.org/,Durango,Colorado 
128,Friends of Mineralogy - Colorado Chapter ,http://friendsofmineralogycolorado.org/,Denver,Colorado 
129,Grand Junction Gem & Mineral Club,http://www.grandjunctionrockclub.org/,Grand Junction,Colorado 
130,Lake George Gem & Mineral club,http://www.lggmclub.org/,Lake George,Colorado 
131,"Littleton Gem and Mineral Club, Inc.",http://littletongemandmineralclub.com/,Littleton,Colorado 
132,Mile High Rock and Mineral Society,http://www.milehirams.com/,Arvada,Colorado 
133,North Jeffco Gem & Mineral Club,http://www.peaktopeak.com/njeffco/index.php,Arvada,Colorado 
134,Pueblo Rockhounds,http://www.pueblorockhounds.org/,Pueblo,Colorado 
135,Western Interior Paleontological Society,http://www.westernpaleo.org/,Denver,Colorado 
136,Bristol Gem & Mineral Club,http://bristolgem.org/,Bristol,Connecticut 
137,Danbury Mineralogical Society,http://danburymineralogicalsociety.weebly.com/,Danbury,Connecticut 
138,Lapidary and Mineral Society of Central Connecticut,http://www.lmscc.org/,Meriden,Connecticut 
139,New Haven Mineral Club,http://www.newhavenmineralclub.org/,New Haven,Connecticut 
140,Stamford Mineralogical Society,http://www.stamfordmineralsociety.org/,Stamford,Connecticut 
141,"Delaware Mineralogical Society, Inc.",http://www.delminsociety.net/,Wilmington,Delaware 
142,Canaveral Mineral & Gem Society,http://www.canaveral-mgs.com/,Melbourne,Florida 
143,Central Brevard Rock and Gem Club,http://www.centralbrevardgems.org/,Merritt Island,Florida 
144,Central Florida Mineral and Gem Society,http://www.cfmgs.org/,Winter Park,Florida 
145,Florida Fossil Hunters,http://floridafossilhunters.com/,Orlando,Florida 
146,Florida Gold Coast Gem & Mineral Society,http://fgcgms.com/main/,Hollywood,Florida 
147,Fossil Club of Lee County,http://www.fcolc.com/,Ft. Myers,Florida 
148,Gainesville Gem & Mineral Society,http://gainesvillegms.weebly.com/,Gainesville,Florida 
149,Gem and Mineral Society of the Palm Beaches,http://www.gemandmineralsociety.org/,West Palm Beach,Florida 
150,"Imperial Bone Valley Gem, Mineral, & Fossil Society",http://www.bonevalley.net/,Lakeland,Florida 
151,"Jacksonville Gem and Mineral Society, Inc.",http://www.jaxgemandmineral.org/,Jacksonville,Florida 
152,"Miami Mineralogical and Lapidary Guild, Inc.",http://www.mmlg-inc.org/,Miami,Florida 
153,Playground Gem and Mineral Society,http://playgroundgem.org/,Ft. Walton Beach,Florida 
